0	17649	7,483,12382,24130,2678,3058,64,13017,6937,15901,20114,18365,3409,10717,20555,18489,25710,16878,3242,25969
1	958	5205,91,17788,12391,2405,821,27142,308,10271,3013,5979,1387,12382,24267,1672,11877,25362,25603,10381,2100
2	4674	1806,7,328,242,64,310,249,348,2205,483,540,241,574,163,95,827,123,433,103,82
3	4058	7,64,310,328,1806,348,574,242,2205,540,674,140,163,241,249,98,451,1412,827,684
4	5249	328,1806,249,64,7,483,310,241,540,27622,574,242,716,684,2466,3058,2347,2205,887,103
5	14892	249,328,1806,7,483,310,64,716,2205,241,242,140,103,27622,348,540,1103,684,163,4954
6	16302	328,7,242,310,348,1806,249,574,16728,4826,26538,7566,64,26851,433,6856,840,13961,20024,12534
7	2021	310,328,7,1806,64,140,242,348,163,483,95,249,103,241,840,2205,1412,827,98,887
8	13052	5732,310,13443,19381,1590,88,22668,341,5943,15421,8053,21799,17898,8797,2120,14929,8629,4476,21188,5520
9	20191	310,7,1806,328,64,242,827,348,2205,140,163,483,249,241,451,95,584,160,98,2081
10	11140	310,7,64,1806,328,242,827,163,2205,348,95,140,451,483,1482,2081,584,684,1502,3423
11	15046	310,7,1806,64,328,242,2205,249,540,348,241,163,483,574,827,584,684,98,433,1412
12	9396	328,348,7,310,64,1806,249,483,140,2205,98,242,95,451,13052,2466,241,10904,540,5313
13	5148	7,310,328,1806,64,242,3484,483,2466,887,249,13052,2239,241,140,348,684,98,540,4114
14	2072	3504,4645,2663,2239,15228,7,13348,242,13935,12432,6316,4296,887,11592,8391,12799,13249,5450,12970,18551
15	11054	328,1767,1806,684,310,1890,19487,11001,1412,540,2658,25433,19179,342,24884,28571,18496,12778,3986,15489
16	172	1412,7,4964,1806,241,348,98,9964,3572,25126,684,310,9597,14510,21829,5919,16528,484,22061,11761
17	21046	64,7,310,827,1806,674,451,328,348,140,2205,242,163,313,249,20682,483,540,2803,4910
18	7765	7,310,1806,328,64,348,242,2205,249,163,241,140,827,483,98,95,540,840,451,584
19	18379	7,310,1806,64,328,242,2205,249,348,163,827,140,241,98,540,584,574,840,95,160
20	18305	64,7,2205,1806,310,348,540,241,674,2417,574,328,242,103,746,483,249,163,91,140
21	16353	310,7,1767,328,1806,64,20613,249,348,27249,3919,2081,451,98,26833,3124,13327,2971,26240,21165
22	5512	7,310,242,1806,328,95,249,64,2205,348,483,540,241,3058,684,1412,163,840,140,574
23	7214	310,7,64,1806,242,328,348,2205,249,163,540,584,67,827,433,2081,484,451,6072,12088
24	20499	3504,483,4645,827,2663,24614,140,13935,887,2284,4817,2170,25453,310,14191,17714,20523,6102,5637,26848
25	22873	64,7,1806,310,328,242,2205,249,540,163,574,348,827,241,483,684,674,1412,451,140
26	16537	328,249,1806,7,64,242,310,540,483,2466,348,241,684,574,716,1547,1103,1693,2205,140
27	9204	328,242,716,3058,12172,24275,19154,20271,27570,7632,2035,483,977,20128,27574,6324,12025,27622,1937,27103
28	280	7,328,310,1806,64,242,249,827,483,163,2205,540,241,348,433,140,1412,574,584,103
29	20739	249,328,1806,540,483,684,7,3058,103,163,241,574,242,2466,64,2205,5798,140,1693,8225
30	11028	3484,2466,887,13052,1604,2239,3504,483,1806,64,4114,7019,4645,20763,12233,20030,3140,12089,8282,28411
31	2285	64,674,2114,4997,3577,95,14084,9167,4844,371,242,27364,6131,3425,4501,7634,5013,9151,27319,11409
32	1710	7,1767,241,64,328,1806,163,1412,3633,348,2205,17487,22192,1890,705,574,12900,25112,22038,26421
33	12441	7,310,64,1806,328,242,348,584,827,2205,1412,163,241,140,249,451,1767,2081,91,160
34	3802	64,328,1806,7,310,540,348,483,242,2205,249,241,98,574,140,1693,163,827,103,484
35	21137	20858,16862,2205,15032,7111,6199,14628,21042,23978,23907,26217,8935,6565,25067,8810,27437,25271,27744,20697,21954
36	17456	7,328,310,1806,249,64,2205,242,140,348,483,241,163,540,103,574,95,433,684,584
37	7720	64,1806,7,328,310,242,348,2205,249,540,241,483,574,163,827,98,140,433,1412,584
38	23075	64,1806,310,7,163,328,242,348,249,2205,574,342,241,827,540,98,140,840,684,269
39	15974	7,64,1806,483,574,140,163,328,20949,103,11168,17998,348,249,22822,705,19574,1481,15208,765
40	20556	328,684,7,310,1806,249,2466,887,242,540,3484,64,241,2663,2239,1412,140,98,483,13052
41	8593	7,584,483,313,8721,64,163,95,328,12313,7604,9590,7833,26247,10803,27821,6870,674,23413,1806
42	17047	7,390,992,2466,11639,1359,3657,2678,15118,27504,14124,3291,18107,24948,12559,6486,18827,8098,7840,6318
43	22757	64,23662,2645,310,17250,25935,14058,8180,328,887,3196,18124,24609,16414,4247,2417,3280,27427,25909,25982
44	5886	95,7,310,483,6018,9716,12106,7263,297,25890,8267,21429,19595,1830,5521,1547,23373,3426,18001,8061
45	13729	249,7,328,242,64,2205,574,103,140,1693,28336,540,5175,130,1239,1806,8563,19123,22451,523
46	8139	310,1806,7,64,95,328,483,3423,2347,451,2205,574,827,249,88,4954,85,242,810,176
47	3847	140,7,310,242,328,684,249,887,838,7119,1364,27353,98,24159,28344,26929,26574,451,701,6804
48	17583	5873,827,12713,328,8469,21752,11960,8819,15075,249,15555,163,91,15461,1210,16705,821,14638,9934,3504
49	2741	328,249,1806,2205,540,242,103,33,241,64,9203,26782,1693,483,858,15350,8770,3944,1260,840
50	23676	27582,3783,7895,580,26983,836,18881,18994,542,13625,19325,1792,22765,23728,20605,26299,16873,4593,6758,617
51	6814	19656,26823,939,27744,801,711,6311,23903,5311,3593,6736,23138,19631,574,6320,9915,21268,5741,21598,11112
52	10387	310,7,328,1806,64,242,348,163,249,140,574,2205,95,827,160,241,433,3423,2193,2347
53	13330	684,7305,1890,3600,1604,24901,3633,18557,376,5413,21695,21832,23810,16350,10202,25274,25350,11168,17484,6602
54	5879	249,7,64,328,2205,1806,310,540,348,242,483,574,241,103,163,451,684,1412,140,3796
55	4942	1806,328,7,310,64,483,249,242,348,2205,540,163,716,241,433,103,3058,684,574,140
56	22749	16317,3013,26978,5205,20836,28213,8820,19199,17303,24428,4267,746,5542,14587,4019,25799,22397,8871,25494,7123
57	3806	328,7,1806,242,310,64,483,540,249,3058,2205,241,574,348,684,433,163,95,88,2466
58	20543	64,310,1806,7,328,2205,242,241,540,574,348,827,483,163,684,98,95,249,2466,674
59	24486	310,328,1806,64,1693,7,5798,249,483,716,163,27622,22438,2205,433,8825,85,540,28464,13046
60	21354	328,310,7,140,348,1806,483,242,64,249,4826,574,484,433,2663,716,6291,27941,2239,10775
61	4758	64,1806,328,7,249,310,242,2205,540,163,348,241,483,574,684,98,827,140,1412,103
62	8060	7,64,310,241,1806,2205,328,249,348,242,674,140,827,163,3050,98,483,574,285,540
63	3612	328,249,483,858,1806,7,64,310,10027,5798,540,1693,5565,12070,2466,23625,4254,103,4162,241
64	5344	64,483,140,7,348,6851,242,1412,14134,21075,651,1042,310,451,1536,249,15077,1387,21182,9568
65	2891	64,1806,328,7,310,348,242,2205,574,540,163,241,98,10904,249,451,827,140,684,1412
66	17217	19995,939,4291,14509,8480,53,21149,9121,23500,14551,9596,15330,26125,14638,364,24035,13696,12779,10332,20511
67	1225	1806,33,249,328,863,15593,3550,10538,433,310,242,7327,7,827,12432,22994,18849,9412,103,22919
68	4896	6441,11366,2300,27410,2353,25743,15546,6962,18793,18754,14207,2701,17357,19549,1873,22993,2152,26492,26376,9290
69	20259	249,328,310,483,4292,1103,540,3058,716,242,975,1092,804,19267,389,8822,27622,3243,13878,1360
70	9948	328,1806,7,64,310,483,249,540,242,2205,241,348,574,163,2347,716,684,2466,1693,3058
71	12688	328,310,7,1806,249,241,2466,483,684,827,348,8947,12136,2926,1693,21486,163,540,3331,4679
72	630	64,1806,7,328,2205,540,310,242,827,1412,348,483,241,163,12125,674,285,484,684,2604
73	24372	1364,1412,140,326,310,7360,7,26961,249,3523,14191,483,24864,27546,18529,24744,7786,1481,7775,20012
74	11252	64,310,7,1806,3423,242,348,2205,163,123,1055,684,827,540,10270,249,1412,9565,160,523
75	17976	7,328,64,310,1806,540,574,840,242,2169,163,1547,8117,1502,348,22593,21715,7712,2810,75
76	19183	328,1806,7,249,64,483,540,310,684,242,2205,241,140,163,348,574,2466,27622,716,103
77	2287	310,3423,5355,584,17066,9720,16907,9095,11445,3313,15289,27068,600,12949,17891,22542,27999,9332,10809,2981
78	14498	7,310,64,249,2314,163,483,14494,328,3400,6851,1806,918,785,3796,2081,6644,15777,95,19960
79	13677	140,310,1806,7,20198,12840,348,483,249,17497,98,95,648,674,67,1412,16130,21930,3504,23361
80	9572	98,310,3504,4645,24614,64,3887,2663,13052,13250,21055,17862,5428,24495,13935,23147,241,23218,14975,403
81	12074	7,64,310,1806,328,242,348,827,2205,163,249,540,241,483,574,140,1412,484,98,451
82	20641	7,584,310,140,328,241,91,249,163,1806,242,2466,28127,64,574,15927,27262,25992,8988,4179
83	11680	1768,5428,53,345,1995,19366,1127,8573,25185,692,12103,25882,18953,11477,7411,8707,10372,5187,12841,19197
84	19671	328,1806,7,1540,242,684,249,140,241,310,827,98,8213,433,16579,14971,17071,19888,540,3099
85	20747	64,328,249,581,2466,483,1806,7,120,716,241,348,3058,140,12909,2841,103,540,5505,17008
86	15925	64,313,348,20614,574,13134,2812,2205,4308,6809,858,11472,7980,18489,16551,20311,483,23928,9244,15319
87	4072	7,17665,15260,10434,3445,19963,10082,10888,20259,23100,16502,17055,13932,15454,3092,16260,10272,828,5223,20511
88	19446	7,328,163,4694,14637,5572,1767,540,24673,7077,12271,5537,22648,3004,5921,13227,1806,19912,785,26845
89	758	64,328,1806,7,249,310,242,2205,540,574,483,348,163,241,684,433,827,103,716,140
90	2673	64,310,328,285,242,1806,2205,348,140,249,27125,12080,163,18912,27976,13835,16316,28062,6082,1896
91	1314	483,716,328,249,1806,17850,433,5121,18719,21039,363,2347,10459,1857,24055,25609,6880,10099,21813,19669
92	14759	7,328,310,64,1806,140,674,348,91,2205,2314,249,163,285,24299,15551,241,22500,13640,6883
93	7083	310,7,64,328,1806,451,348,163,242,249,827,98,483,140,95,2205,160,2081,7208,1412
94	17386	7,328,310,1806,64,242,540,98,348,249,2205,241,483,163,140,827,1412,684,574,433
95	3544	64,11849,3887,4937,7193,22693,12125,5083,241,15035,11133,4434,7110,746,27159,17843,4422,5205,13369,2417
96	16234	328,1806,64,7,310,540,242,483,249,2205,241,684,348,163,103,2466,140,716,574,27622
97	8784	812,26383,19379,20571,235,23158,21712,923,25872,64,131,19013,11077,3023,4338,2756,24025,17863,19716,25667
98	24934	249,328,310,684,540,1806,2466,7,64,483,242,1547,241,2205,348,140,103,858,5798,1412
99	23478	64,1806,328,7,310,242,540,249,574,2205,483,827,348,684,163,241,123,433,363,1055
100	11602	64,354,1943,9114,27386,14597,3831,5987,6513,2787,13615,16805,25885,7833,4590,12784,19758,17726,20217,2164
101	12859	328,483,249,926,858,1806,22286,11467,584,24743,15663,22187,26384,130,21693,9418,26533,24210,14681,2972
102	5010	328,1806,7,242,64,540,310,249,483,348,241,2205,684,840,140,574,103,163,1693,27622
103	14038	7,328,310,163,249,483,64,140,95,160,584,1412,4235,433,6340,1806,4645,574,2193,3504
104	2843	328,7,1806,310,483,249,64,242,3058,540,684,2466,2205,241,163,574,140,348,433,103
105	7632	1806,328,7,310,64,249,242,140,348,540,483,241,2205,827,716,103,1693,1412,2466,484
106	24391	1806,7,64,310,328,242,348,674,249,827,540,241,163,483,574,2205,433,584,88,140
107	8059	7,328,64,2205,103,242,1806,574,827,348,483,310,241,540,14935,10341,6000,684,965,163
108	8465	1521,8023,6891,21675,8071,27095,25955,9043,26749,14217,1554,19069,17968,5838,21746,16280,5068,6380,10088,27746
109	15398	328,64,1806,483,540,242,7,1412,348,2205,310,433,163,88,684,27622,3058,9146,389,17568
110	10992	3504,328,3484,887,13935,13052,310,2466,4114,4645,2663,1806,684,2239,17071,21826,14858,17985,98,241
111	20258	1806,310,64,7,328,249,242,483,2205,574,241,163,269,827,716,684,348,584,540,27622
112	770	483,803,3142,7957,7638,4381,9023,11495,8282,20453,23280,23174,328,22225,13491,26506,1547,4162,18970,2642
113	1830	7,246,1806,328,64,242,163,3177,7078,483,27498,1203,8464,1103,11578,123,12019,4290,473,8632
